id,files,locs added,locs removed,locs total,hunks,commit time,author time
5fc00a1cf637ea9e82f9d4bfc6d89b84addd6b3a...4818cf4164bcde142b2a7de79c97a6c01b63373f,1,1,1,2,1,2012-01-18 23:11:18,2012-01-18 23:11:18
b34f71c931fadb60b7714299e4de56308560bc77...88a5996d4cd11b05c708d8bb4c82fcb468c1060a,1,2,0,2,1,2012-01-21 18:16:53,2012-01-21 18:16:53
88a5996d4cd11b05c708d8bb4c82fcb468c1060a...e96893311ed2ef247175f96110dd880779da403a,1,2,2,4,1,2012-01-24 07:34:16,2012-01-24 07:34:16
e96893311ed2ef247175f96110dd880779da403a...d8f70bdb15c4c685fd5cdfb28336b07ad7f69f98,1,1,0,1,1,2012-01-24 12:36:07,2012-01-24 12:36:07
cad76f55cf5b6ac7c9c24311e1a09239839abca6...e45cd32be64b196c2acfffea9e315d648be1d785,3,112,0,112,3,2012-02-16 10:22:07,2012-02-16 10:22:07
2e8389fdde982ebc514fbbdf029ae8dafc3d85a0...a6970d15fdaa56ad0335bc923bdfe803cbd88e25,2,106,0,106,24,2012-01-24 23:16:11,2012-01-24 22:37:45
a6970d15fdaa56ad0335bc923bdfe803cbd88e25...26034fc27776a1bc2b9c9bcbfbd11311f335a95c,1,2,0,2,1,2012-01-27 19:24:24,2012-01-27 19:24:24
a6970d15fdaa56ad0335bc923bdfe803cbd88e25...29e9e638070fa45c71959afc903228069b4e40a3,1,1,1,2,1,2012-01-25 15:35:03,2012-01-25 15:35:03
579b9638dddee5c72b03bdc9be72d1e3056283a0...9e8a65d4f32b608313ce747aee3ce82f68550115,1,5,2,7,2,2012-02-18 10:10:37,2012-02-18 10:10:37
1b6e668ab4e98b3782318afb3af977b82885787d...7d2d581f9b4d6db94cb729dc54f92a4c30e5945a,1,2,2,4,2,2012-01-28 13:39:55,2012-01-28 13:39:55
3fef9f9b6f429af46f49ffc07df9825f186dfdbe...3d9360cf846ca9a117c3cfa7302363809b5e5cf4,1,4,4,8,3,2012-01-30 19:02:53,2012-01-30 19:02:53
3d9360cf846ca9a117c3cfa7302363809b5e5cf4...4e8065277d84610afc1fc7dd45d8885b74a73a5f,1,2,0,2,1,2012-02-01 13:58:26,2012-02-01 13:58:26
3d9360cf846ca9a117c3cfa7302363809b5e5cf4...65fcaeed0a70a761405a63663ba3692c57988ec0,1,5,0,5,1,2012-01-30 19:05:56,2012-01-30 19:05:56
1e5038207db25b9b84a3dadaa82a755a4502ce8b...343299c63fc57b9ee2b5c0938ec0c223f3298821,1,4,0,4,1,2012-02-02 20:48:48,2012-02-02 20:48:48
343299c63fc57b9ee2b5c0938ec0c223f3298821...a62f419cb9f9e7eb30a735002c98390dafac595f,1,1,0,1,1,2012-02-02 20:51:38,2012-02-02 20:51:38
65fcaeed0a70a761405a63663ba3692c57988ec0...7b4393cfc95ff5dee41edf3353a16dc2e305df59,1,8,0,8,1,2012-02-02 19:43:02,2012-02-02 19:43:02
65fcaeed0a70a761405a63663ba3692c57988ec0...9641f5750ba9a8a46c2bf4e5f7cdec192cc39166,1,14,7,21,9,2012-01-30 19:35:47,2012-01-30 19:35:47
9641f5750ba9a8a46c2bf4e5f7cdec192cc39166...cfe6448594157e3c5ce2383525ce6f23f0a07bb3,2,226,186,412,34,2012-02-15 20:16:43,2012-02-01 20:28:55
cfe6448594157e3c5ce2383525ce6f23f0a07bb3...db5857afdafea7e7fd4f35be9c6155fa36c33956,1,18,0,18,1,2012-02-15 20:17:26,2012-02-15 19:39:45
db5857afdafea7e7fd4f35be9c6155fa36c33956...7c46679b39dc7a48d8f6f8aee3eb08e3ec400fa5,1,7,2,9,2,2012-02-15 20:17:26,2012-02-15 19:53:41
7c46679b39dc7a48d8f6f8aee3eb08e3ec400fa5...f248a39aabfe3aa42f676b0ae9cf4b0375a1c122,1,5,0,5,1,2012-02-15 20:17:26,2012-02-15 20:01:19
f248a39aabfe3aa42f676b0ae9cf4b0375a1c122...ff81a1305411ac269b1a494e320b87c4d7d558d2,1,22,0,22,1,2012-02-15 20:17:26,2012-02-15 20:10:56
ff81a1305411ac269b1a494e320b87c4d7d558d2...14a86ef9efcd234e2fd11704130254df07730db6,1,2,0,2,1,2012-02-15 20:17:27,2012-02-15 20:12:15
