id,num commits,branch files,avg branch files pc,commit files,avg commit files pc,branch locs added, branch locs removed,branch locs total,avg branch locs total pc,commit locs added, commit locs removed,commit locs total,avg commit locs total pc,branch hunks,avg branch hunks pc,commit hunks,avg commit hunks pc,num unique authors,num unique committers,commit start time,commit end time,commit time window,author start time, author end time,author time window
692ff26040ce2c829dad10fc1d0b3bc4e687cf5f...33b5ea5a392300db6488b966da61aa4730658253,218,177,0.811926605505,178,0.816513761468,1627,494,2121,9.72935779817,1695,562,2257,10.3532110092,367,1.68348623853,427,1.95871559633,87,4,2011-09-25 18:45:21,2011-10-17 01:53:36,511.1375,2011-04-22 13:45:48,2011-10-17 01:29:06,4259.72166667
33b5ea5a392300db6488b966da61aa4730658253...db35cfbff4d22833f1590094d58eacd129bedd79,1,1,1.0,1,1.0,17,0,17,17.0,17,0,17,17.0,2,2.0,2,2.0,1,1,2011-12-10 17:27:33,2011-12-10 17:27:33,0.0,2011-10-14 09:16:57,2011-10-14 09:16:57,0.0
33b5ea5a392300db6488b966da61aa4730658253...81994782b07713ed91f9f51e5e0d128083e3741c,571,478,0.837127845884,478,0.837127845884,4998,2200,7198,12.6059544658,5389,2591,7980,13.9754816112,1170,2.04903677758,1447,2.53415061296,224,3,2011-10-17 16:41:35,2011-12-09 14:39:09,1269.95944444,2011-04-26 01:30:13,2011-12-09 13:10:28,5459.67083333
543e9b7ddd75198442ce48b6d1471e2b91302f69...fbd51c114613c8b8b65039c37545dd9bf008f06c,23,21,0.913043478261,21,0.913043478261,287,34,321,13.9565217391,310,57,367,15.9565217391,35,1.52173913043,42,1.82608695652,14,3,2011-12-10 20:22:53,2011-12-12 07:21:44,34.9808333333,2011-07-21 18:45:23,2011-12-12 07:21:16,3444.59805556
81994782b07713ed91f9f51e5e0d128083e3741c...5ea4f72f76260bfba65347cb962352df5f4f6c70,1,1,1.0,1,1.0,2,2,4,4.0,2,2,4,4.0,1,1.0,1,1.0,1,1,2011-12-09 15:35:18,2011-12-09 15:35:18,0.0,2011-12-08 13:27:21,2011-12-08 13:27:21,0.0
81994782b07713ed91f9f51e5e0d128083e3741c...b97c782a2882eb3be213864e406e8ddc5569e9ff,1,1,1.0,1,1.0,2,2,4,4.0,2,2,4,4.0,1,1.0,1,1.0,1,1,2011-12-09 14:40:23,2011-12-09 14:40:23,0.0,2011-12-08 13:27:21,2011-12-08 13:27:21,0.0
d29184867bfd829b0ce84d7b533caf545c6e3f6e...b769471577cbad4f2c8d5b3153be20482c27e4df,741,554,0.747638326586,556,0.750337381916,6420,3350,9770,13.1848852901,7102,4032,11134,15.0256410256,1412,1.90553306343,1728,2.33198380567,291,6,2011-12-12 20:16:47,2012-02-05 03:39:48,1303.38361111,2011-04-08 23:45:07,2012-02-05 03:39:48,7251.91138889
b97c782a2882eb3be213864e406e8ddc5569e9ff...bd71558188e0e0821e62e28b196e5195bbf3bdc6,2,6,3.0,6,3.0,19,7,26,13.0,19,7,26,13.0,7,3.5,7,3.5,2,1,2011-12-09 19:04:03,2011-12-09 19:57:47,0.895555555556,2011-12-09 15:33:47,2011-12-09 19:48:01,4.23722222222
b769471577cbad4f2c8d5b3153be20482c27e4df...4c8d37104e27f07053eaf32060882dafa451ca32,1,1,1.0,1,1.0,2,2,4,4.0,2,2,4,4.0,2,2.0,2,2.0,1,1,2012-02-05 07:49:38,2012-02-05 07:49:38,0.0,2012-02-05 06:59:19,2012-02-05 06:59:19,0.0
b769471577cbad4f2c8d5b3153be20482c27e4df...6d0c16e6338e6604c6fd2d362f32b3d68703cc15,1,1,1.0,1,1.0,11,1,12,12.0,11,1,12,12.0,1,1.0,1,1.0,1,1,2012-02-05 06:37:40,2012-02-05 06:37:40,0.0,2012-01-26 13:11:29,2012-01-26 13:11:29,0.0
bd71558188e0e0821e62e28b196e5195bbf3bdc6...c9eca803d676961ead136b07ab145cc1e826b314,12,18,1.5,18,1.5,124,91,215,17.9166666667,124,91,215,17.9166666667,34,2.83333333333,34,2.83333333333,5,1,2011-12-09 22:16:46,2011-12-10 03:25:51,5.15138888889,2011-08-26 19:30:27,2011-12-10 03:10:10,2527.66194444
398bc68fa978afe6ba9fe648fdc00a7522f1d882...2e63ae9f71e64abb6629797ebd11ca4becee3b98,926,810,0.874730021598,814,0.879049676026,7031,5762,12793,13.8153347732,7732,6463,14195,15.3293736501,2686,2.90064794816,3255,3.5151187905,198,6,2012-02-05 16:35:34,2012-03-09 06:16:33,781.683055556,2011-04-25 23:34:01,2012-03-09 05:45:11,7638.18611111
c9eca803d676961ead136b07ab145cc1e826b314...58e19013528b00924af415a26c10d570a006ae61,2,2,1.0,2,1.0,22,22,44,22.0,22,22,44,22.0,8,4.0,8,4.0,2,1,2011-12-10 18:03:16,2011-12-10 18:03:16,0.0,2011-11-28 00:20:32,2011-12-10 16:17:24,303.947777778
c9eca803d676961ead136b07ab145cc1e826b314...d628e96761956b1b4123fcc8d162f3c354e16688,2,2,1.0,2,1.0,22,22,44,22.0,22,22,44,22.0,8,4.0,8,4.0,2,1,2011-12-10 16:47:41,2011-12-10 16:51:41,0.0666666666667,2011-11-28 00:20:32,2011-12-10 16:17:24,303.947777778
65cb8936b1ef66e9bd0f26604b5ae7d0ce0f2dd2...f4847b50318a2626968474f49ad4cf39f2ccf3ee,1,1,1.0,1,1.0,3,3,6,6.0,3,3,6,6.0,2,2.0,2,2.0,1,1,2011-12-10 18:17:51,2011-12-10 18:17:51,0.0,2011-12-10 17:54:38,2011-12-10 17:54:38,0.0
