day,files_modified,hunks,lines_added,lines_removed,lines_modified,commits
2007-01-03,27,66,182,78,260,18
2007-01-05,16,48,376,72,448,12
2007-01-06,10,21,42,30,72,9
2007-01-07,44,254,1425,485,1910,21
2007-01-08,102,255,2507,445,2952,33
2007-01-09,22,66,306,401,707,16
2007-01-10,61,148,499,458,957,27
2007-01-11,16,47,217,128,345,13
2007-01-12,70,184,382,286,668,16
2007-01-13,22,69,350,99,449,12
2007-01-14,473,4427,34760,14031,48791,51
2007-01-15,171,821,3507,2027,5534,27
2007-01-16,28,129,223,134,357,19
2007-01-17,55,131,814,581,1395,31
2007-01-18,111,227,827,496,1323,22
2007-01-19,12,20,199,259,458,4
2007-01-20,27,114,329,136,465,9
2007-01-21,89,343,4778,3861,8639,63
2007-01-22,55,252,693,389,1082,46
2007-01-23,16,46,94,40,134,16
2007-01-24,12,18,60,25,85,7
2007-01-25,38,132,524,204,728,24
2007-01-26,35,114,758,208,966,28
2007-01-27,11,39,784,171,955,8
2007-01-28,50,139,774,267,1041,24
2007-01-29,108,378,3031,2217,5248,30
2007-01-30,261,1092,5681,2974,8655,9
2007-01-31,35,110,2813,186,2999,30
2007-02-01,4,25,100,73,173,4
2007-02-02,18,67,159,66,225,15
2007-02-03,14,28,98,24,122,9
2007-02-04,174,675,5457,1865,7322,21
2007-02-05,53,158,1051,184,1235,28
2007-02-06,29,160,1125,308,1433,22
2007-02-07,40,166,3376,440,3816,27
2007-02-08,27,230,604,227,831,19
2007-02-09,27,170,662,360,1022,23
2007-02-10,6,21,54,21,75,6
2007-02-11,16,40,146,64,210,15
2007-02-12,36,107,5819,111,5930,22
2007-02-13,54,106,660,377,1037,21
2007-02-14,107,296,1687,916,2603,52
2007-02-15,2,7,36,0,36,2
2007-02-16,5,15,32,6,38,5
2007-02-17,24,58,211,58,269,8
2007-02-18,25,71,186,85,271,10
2007-02-19,7,18,39,18,57,3
2007-02-20,34,122,326,111,437,15
2007-02-21,114,536,1230,634,1864,29
2007-02-22,15,48,204,99,303,10
2007-02-23,215,1292,7532,3955,11487,132
2007-02-24,31,85,236,79,315,14
2007-02-25,19,43,234,58,292,11
2007-02-26,133,904,6206,2796,9002,16
2007-02-27,246,1630,7631,4052,11683,15
2007-02-28,112,476,1660,683,2343,32
2007-03-01,17,35,108,50,158,11
2007-03-02,18,39,260,30,290,6
2007-03-03,19,27,99,18,117,7
2007-03-04,70,197,833,392,1225,20
2007-03-05,128,262,1650,230,1880,23
2007-03-06,35,159,450,282,732,21
2007-03-07,80,328,713,381,1094,29
2007-03-08,12,59,279,148,427,6
2007-03-09,7,23,52,19,71,6
2007-03-10,10,36,167,49,216,9
2007-03-11,86,374,1468,557,2025,21
2007-03-12,51,224,730,761,1491,30
2007-03-13,39,175,563,598,1161,19
2007-03-14,83,224,2073,574,2647,32
2007-03-15,1,1,3,3,6,1
2007-03-16,11,27,153,25,178,5
2007-03-17,17,89,254,143,397,7
2007-03-18,23,85,354,63,417,8
2007-03-19,52,178,1095,747,1842,24
2007-03-20,23,62,1229,810,2039,19
2007-03-21,42,131,222,194,416,19
2007-03-22,32,88,1226,845,2071,25
2007-03-23,14,34,214,33,247,11
2007-03-24,29,127,498,221,719,15
2007-03-25,25,94,1029,985,2014,14
2007-03-26,12,28,131,24,155,9
2007-03-27,11,19,46,34,80,11
2007-03-28,26,46,235,50,285,19
2007-03-29,15,49,101,100,201,14
2007-03-30,9,59,114,101,215,7
2007-03-31,16,35,658,32,690,10
2007-04-01,22,112,322,85,407,16
2007-04-02,1,7,14,8,22,1
2007-04-04,72,275,1203,266,1469,33
2007-04-05,59,114,1399,1173,2572,22
2007-04-06,12,27,58,54,112,10
2007-04-07,52,153,827,200,1027,18
2007-04-08,19,57,428,44,472,12
2007-04-09,16,61,412,57,469,9
2007-04-10,57,222,1347,182,1529,31
2007-04-11,6,20,52,21,73,5
2007-04-12,42,122,1005,189,1194,20
2007-04-13,17,49,375,48,423,8
2007-04-14,31,75,678,102,780,19
2007-04-15,27,182,475,199,674,19
2007-04-16,61,160,731,326,1057,25
2007-04-17,45,200,1352,562,1914,24
2007-04-18,38,197,908,234,1142,18
2007-04-19,15,22,114,27,141,11
2007-04-20,23,193,950,229,1179,14
2007-04-21,15,67,89,81,170,8
2007-04-22,88,498,3382,768,4150,16
2007-04-23,33,198,569,360,929,13
2007-04-24,39,89,158,73,231,24
